,m,build_year,location,floor,id,market,price,price_per_m2,date_created,date_lastmod,rooms,builttype,url
114,51.73,2021,lublin,floor_4,63330762,secondary,610414,11800,2022-07-22 23:55:26,2022-08-07 14:33:37,2,apartment,https://www.otodom.pl/pl/oferta/apartamentowiec-wysoki-standard-rozklad-ID4hJdU.html
115,33,1980,lublin,ground_floor,62868501,secondary,292000,8848,2022-03-11 20:31:56,2022-08-06 14:15:15,2,block,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-33-m2-kalina-parter-ID4fMY5.html
116,58.98,2007,lublin,floor_2,63275070,secondary,579000,9817,2022-07-07 13:22:36,2022-08-06 13:31:46,3,block,https://www.otodom.pl/pl/oferta/3-pokoje-2-balkony-lublin-czuby-poreba-ID4huJE.html
117,54,1982,lublin,floor_4,63368813,secondary,390000,7222,2022-08-03 18:20:58,2022-08-06 12:39:46,3,block,https://www.otodom.pl/pl/oferta/3-pokoje-do-wlasnej-aranzacji-blisko-wawozu-ID4hT7D.html
118,58,1975,lublin,floor_3,63347914,secondary,340000,5862,2022-07-28 15:23:43,2022-08-06 12:40:49,3,block,https://www.otodom.pl/pl/oferta/3-pokoje-pod-inwestycje-tatary-ID4hNGy.html
119,36,1982,lublin,floor_6,62951801,secondary,298000,8278,2022-04-04 18:55:08,2022-08-06 12:40:53,1,block,https://www.otodom.pl/pl/oferta/czechow-os-paderewskiego-przytulna-kawalerka-ID4g8DD.html
120,,,,,,,,,,,,,
121,,,,,,,,,,,,,
122,66,1987,lublin,floor_4,61707678,secondary,389000,5894,2021-04-07 14:13:07,2022-08-06 11:34:19,3,block,https://www.otodom.pl/pl/oferta/rozkladowe-3-pokoje-na-kalinowszczyznie-ID4aUZ8.html
123,,,,,,,,,,,,,
124,,,,,,,,,,,,,
125,,,,,,,,,,,,,
126,,,,,,,,,,,,,
127,63,1980,lublin,floor_4,62945528,secondary,447000,7095,2022-04-02 18:45:34,2022-08-01 19:16:20,3,block,https://www.otodom.pl/pl/oferta/nowa-nizsza-cena-czuby-63m2-lublin-ID4g70s.html
128,,,,,,,,,,,,,
129,47.8,1993,lublin,floor_1,62871427,secondary,369000,7720,2022-03-13 13:54:57,2022-07-17 18:25:27,2,block,https://www.otodom.pl/pl/oferta/czuby-os-blonie2-3-pokoje1-pietro-ID4fNJh.html
130,,,,,,,,,,,,,
131,51.14,1954,lublin,floor_2,63226773,secondary,550000,10755,2022-06-23 15:03:40,2022-08-03 17:55:39,2,tenement,https://www.otodom.pl/pl/oferta/2-pokoje-kul-za-oknem-blizej-sie-nie-da-ID4hiaF.html
132,60.2,1985,lublin,floor_3,62837480,secondary,437000,7259,2022-03-03 13:27:28,2022-07-31 14:31:24,4,block,https://www.otodom.pl/pl/oferta/4-pok-w-rozkladzie-bez-piecyka-po-remoncie-ID4fETK.html
133,63.65,1993,lublin,floor_4,62621750,secondary,475000,7463,2022-01-02 18:44:11,2022-08-07 09:08:04,3,block,https://www.otodom.pl/pl/oferta/mieszkanie-trzypokojowe-lublin-wrotkow-medalionow-ID4eKMe.html
